,0,1
0,Historia medieval de las ciudades europeas,"[['El Palacio Real: El Palacio Real de Madrid es una de las residencias oficiales de la familia real espanola, aunque ahora se usa principalmente para ceremonias de estado. Con mas de 3,000 habitaciones, es el palacio real mas grande de Europa Occidental y un testimonio del esplendor y la historia de Espana.'
  '0.41079191812887456']
 ['Historia de Madrid: Madrid, la capital de Espana, tiene una rica historia que se remonta al siglo IX. La ciudad fue fundada por los musulmanes, y su nombre proviene del arabe Majrit que significa fuente de agua. A lo largo de los siglos, Madrid se ha convertido en un centro politico, economico y cultural de Espana'
  '0.3731012536223183']
 ['Mercado de Navidad de Dortmund: El Mercado de Navidad de Dortmund es uno de los mas grandes y mas visitados de Alemania. Con su gigantesco arbol de Navidad, posiblemente el mas alto de los mercados navidenos del pais, y mas de 300 puestos que venden artesanias, alimentos y bebidas tradicionales, es un evento imperdible durante la temporada festiva.'
  '0.3580007778790785']]"
1,Principales destinos turisticos en Europa,"[['Historia de Dortmund: Dortmund, situada en la region del Ruhr en Alemania, tiene una historia que se remonta al ano 882. Originalmente una pequena villa, Dortmund crecio para convertirse en una importante ciudad industrial, especialmente conocida por su produccion de acero y cerveza.'
  '0.276172385369497']
 ['Westfalenpark: Westfalenpark es uno de los parques urbanos mas grandes de Europa y un lugar destacado para los visitantes en Dortmund. El parque es famoso por su Rosarium, que alberga una de las colecciones mas extensas de rosas en el mundo, y la torre Florian, que ofrece vistas panoramicas de la ciudad.'
  '0.2261335084333227']
 ['Museo del Futbol Aleman: Inaugurado en 2015, el Museo del Futbol Aleman ofrece una experiencia interactiva que celebra la rica historia del futbol aleman. Ubicado en Dortmund, el museo atrae a aficionados de todo el mundo y destaca por sus exposiciones que cuentan desde los primeros dias del deporte hasta los triunfos en Copas del Mundo.'
  '0.2080125735844609']]"
2,Influencia de la realeza en la cultura europea,"[['La Reinoldikirche: La iglesia de San Reinold es el edificio mas antiguo de Dortmund, datando del siglo XIII. Es un punto de referencia historico importante y ofrece a los visitantes una mirada al pasado medieval de la ciudad.'
  '0.5360562674188974']
 ['Westfalenpark: Westfalenpark es uno de los parques urbanos mas grandes de Europa y un lugar destacado para los visitantes en Dortmund. El parque es famoso por su Rosarium, que alberga una de las colecciones mas extensas de rosas en el mundo, y la torre Florian, que ofrece vistas panoramicas de la ciudad.'
  '0.4787135538781691']
 ['Dortmund durante la Segunda Guerra Mundial: Dortmund fue un objetivo significativo durante los bombardeos de la Segunda Guerra Mundial debido a su industria pesada. Hoy en dia, varios monumentos y museos ofrecen reflexiones sobre este periodo y sus efectos en la ciudad.'
  '0.474341649025257']]"
3,Importancia de los parques urbanos en las ciudades,"[['Westfalenpark: Westfalenpark es uno de los parques urbanos mas grandes de Europa y un lugar destacado para los visitantes en Dortmund. El parque es famoso por su Rosarium, que alberga una de las colecciones mas extensas de rosas en el mundo, y la torre Florian, que ofrece vistas panoramicas de la ciudad.'
  '0.5222329678670936']
 ['Mercado de Navidad de Dortmund: El Mercado de Navidad de Dortmund es uno de los mas grandes y mas visitados de Alemania. Con su gigantesco arbol de Navidad, posiblemente el mas alto de los mercados navidenos del pais, y mas de 300 puestos que venden artesanias, alimentos y bebidas tradicionales, es un evento imperdible durante la temporada festiva.'
  '0.35726339135389706']
 ['Historia de Madrid: Madrid, la capital de Espana, tiene una rica historia que se remonta al siglo IX. La ciudad fue fundada por los musulmanes, y su nombre proviene del arabe Majrit que significa fuente de agua. A lo largo de los siglos, Madrid se ha convertido en un centro politico, economico y cultural de Espana'
  '0.3481553119113957']]"
4,Gastronomia tipica en capitales europeas,"[['Historia de Dortmund: Dortmund, situada en la region del Ruhr en Alemania, tiene una historia que se remonta al ano 882. Originalmente una pequena villa, Dortmund crecio para convertirse en una importante ciudad industrial, especialmente conocida por su produccion de acero y cerveza.'
  '0.276172385369497']
 ['Gastronomia Madrilena: Madrid es famosa por su vibrante escena gastronomica que incluye desde tapas en pequenos bares hasta restaurantes de alta cocina. Platos tipicos como el cocido madrileno y las patatas bravas son esenciales para cualquier visitante.'
  '0.23249527748763854']
 ['Museo del Futbol Aleman: Inaugurado en 2015, el Museo del Futbol Aleman ofrece una experiencia interactiva que celebra la rica historia del futbol aleman. Ubicado en Dortmund, el museo atrae a aficionados de todo el mundo y destaca por sus exposiciones que cuentan desde los primeros dias del deporte hasta los triunfos en Copas del Mundo.'
  '0.2080125735844609']]"
5,Eventos deportivos iconicos en Europa,"[['Historia de Dortmund: Dortmund, situada en la region del Ruhr en Alemania, tiene una historia que se remonta al ano 882. Originalmente una pequena villa, Dortmund crecio para convertirse en una importante ciudad industrial, especialmente conocida por su produccion de acero y cerveza.'
  '0.276172385369497']
 ['Westfalenpark: Westfalenpark es uno de los parques urbanos mas grandes de Europa y un lugar destacado para los visitantes en Dortmund. El parque es famoso por su Rosarium, que alberga una de las colecciones mas extensas de rosas en el mundo, y la torre Florian, que ofrece vistas panoramicas de la ciudad.'
  '0.2261335084333227']
 ['Museo del Futbol Aleman: Inaugurado en 2015, el Museo del Futbol Aleman ofrece una experiencia interactiva que celebra la rica historia del futbol aleman. Ubicado en Dortmund, el museo atrae a aficionados de todo el mundo y destaca por sus exposiciones que cuentan desde los primeros dias del deporte hasta los triunfos en Copas del Mundo.'
  '0.2080125735844609']]"
6,Celebraciones de Navidad en ciudades europeas,"[['Mercado de Navidad de Dortmund: El Mercado de Navidad de Dortmund es uno de los mas grandes y mas visitados de Alemania. Con su gigantesco arbol de Navidad, posiblemente el mas alto de los mercados navidenos del pais, y mas de 300 puestos que venden artesanias, alimentos y bebidas tradicionales, es un evento imperdible durante la temporada festiva.'
  '0.5052467333920879']
 ['Westfalenpark: Westfalenpark es uno de los parques urbanos mas grandes de Europa y un lugar destacado para los visitantes en Dortmund. El parque es famoso por su Rosarium, que alberga una de las colecciones mas extensas de rosas en el mundo, y la torre Florian, que ofrece vistas panoramicas de la ciudad.'
  '0.4308202184276646']
 ['Navidad en Madrid: Durante la temporada navidena, Madrid se transforma con mercados festivos, luces deslumbrantes y decoraciones. La Plaza Mayor se convierte en un enorme mercado de Navidad, donde se pueden encontrar todo tipo de regalos y delicias tradicionales.'
  '0.39652579285907213']]"
7,Museos de arte importantes en Europa,"[['Westfalenpark: Westfalenpark es uno de los parques urbanos mas grandes de Europa y un lugar destacado para los visitantes en Dortmund. El parque es famoso por su Rosarium, que alberga una de las colecciones mas extensas de rosas en el mundo, y la torre Florian, que ofrece vistas panoramicas de la ciudad.'
  '0.3813850356982369']
 ['U-Tower - Centro de Arte y Creatividad: El U-Tower, una antigua cerveceria reconvertida, es ahora un centro dinamico de arte y creatividad. Alberga el Museo Ostwald, espacios de exposiciones y estudios de artistas, y es un simbolo de la transformacion cultural de Dortmund.'
  '0.3670651741928988']
 ['El Palacio Real: El Palacio Real de Madrid es una de las residencias oficiales de la familia real espanola, aunque ahora se usa principalmente para ceremonias de estado. Con mas de 3,000 habitaciones, es el palacio real mas grande de Europa Occidental y un testimonio del esplendor y la historia de Espana.'
  '0.3265986323710904']]"
8,Efectos de la Segunda Guerra Mundial en ciudades europeas,"[['Dortmund durante la Segunda Guerra Mundial: Dortmund fue un objetivo significativo durante los bombardeos de la Segunda Guerra Mundial debido a su industria pesada. Hoy en dia, varios monumentos y museos ofrecen reflexiones sobre este periodo y sus efectos en la ciudad.'
  '0.5855400437691198']
 ['Westfalenpark: Westfalenpark es uno de los parques urbanos mas grandes de Europa y un lugar destacado para los visitantes en Dortmund. El parque es famoso por su Rosarium, que alberga una de las colecciones mas extensas de rosas en el mundo, y la torre Florian, que ofrece vistas panoramicas de la ciudad.'
  '0.36262033381142106']
 ['La Reinoldikirche: La iglesia de San Reinold es el edificio mas antiguo de Dortmund, datando del siglo XIII. Es un punto de referencia historico importante y ofrece a los visitantes una mirada al pasado medieval de la ciudad.'
  '0.34740416688982556']]"
9,Arquitectura historica en ciudades europeas,"[['Historia de Dortmund: Dortmund, situada en la region del Ruhr en Alemania, tiene una historia que se remonta al ano 882. Originalmente una pequena villa, Dortmund crecio para convertirse en una importante ciudad industrial, especialmente conocida por su produccion de acero y cerveza.'
  '0.276172385369497']
 ['Museo del Futbol Aleman: Inaugurado en 2015, el Museo del Futbol Aleman ofrece una experiencia interactiva que celebra la rica historia del futbol aleman. Ubicado en Dortmund, el museo atrae a aficionados de todo el mundo y destaca por sus exposiciones que cuentan desde los primeros dias del deporte hasta los triunfos en Copas del Mundo.'
  '0.2080125735844609']
 ['Navidad en Madrid: Durante la temporada navidena, Madrid se transforma con mercados festivos, luces deslumbrantes y decoraciones. La Plaza Mayor se convierte en un enorme mercado de Navidad, donde se pueden encontrar todo tipo de regalos y delicias tradicionales.'
  '0.19425717247145283']]"
