,0,1
0,Historia medieval de las ciudades europeas,[0.49236596 0.43519414 0.42640143]
1,Principales destinos turisticos en Europa,[0.47434165 0.41079192 0.41079192]
2,Influencia de la realeza en la cultura europea,[0.36115756 0.36115756 0.34752402]
3,Importancia de los parques urbanos en las ciudades,[0.42874646 0.40422604 0.39605902]
4,Gastronomia tipica en capitales europeas,[0.2847474  0.24659848 0.24659848]
5,Eventos deportivos iconicos en Europa,[0.40824829 0.35355339 0.35355339]
6,Celebraciones de Navidad en ciudades europeas,[0.42433421 0.37796447 0.32732684]
7,Museos de arte importantes en Europa,[0.47583095 0.45786855 0.44861772]
8,Efectos de la Segunda Guerra Mundial en ciudades europeas,[0.45360921 0.40740741 0.3928371 ]
9,Arquitectura historica en ciudades europeas,[0.4375    0.4330127 0.375    ]
10,Clubes de futbol famosos y sus estadios en Europa,[0.45098762 0.39056673 0.39056673]
11,Transformacion urbana y regeneracion de espacios,[0.55391171 0.52223297 0.47970161]
12,Tradicion cervecera en ciudades europeas,[0.34320324 0.31201886 0.28306926]
13,Mercados y comercio tradicional en Europa,[0.55117825 0.50524673 0.47733437]
14,Centros de arte y creatividad en ciudades modernas,[0.61558701 0.59234888 0.55059776]
15,Actividades de ocio y entretenimiento en ciudades metropolitanas,[0.49518757 0.42884501 0.42884501]
16,Conservacion de la naturaleza y la vida silvestre en zonas urbanas,[0.4271211  0.38749213 0.36989772]
17,Planificacion de eventos culturales y festivales en ciudades,[0.53605627 0.48145692 0.46423835]
18,Desarrollo del transporte y la infraestructura urbana,[0.58554004 0.47434165 0.47336463]
19,Impacto de la tecnolog´ıa en la vida urbana,[0.58461282 0.52504102 0.50628956]
